Threads,Schedule,ChunkSize,FractalTime,FilterTime,HistAtomic,HistReduction,TotalTime,Speedup
1,static,1,53.1669,4.11627,2.98834,0.163251,57.28317,0.6589460743879922
1,static,2,55.8496,7.04778,0.848435,0.115893,62.897380000000005,0.6001286540075278
1,static,4,51.8911,2.28491,0.750082,0.121491,54.176010000000005,0.6967386487118561
1,static,8,37.4197,2.90773,0.875556,0.199981,40.32743,0.9360011287602509
1,static,16,43.3345,2.34129,0.784332,0.118357,45.67579,0.8264010321441623
1,static,32,38.7051,3.45386,0.808568,0.125929,42.15896,0.8953380254161868
1,static,64,36.1928,2.25132,0.684837,0.114595,38.44412,0.9818541821219996
1,static,128,39.1998,2.30448,0.726117,0.112477,41.50428,0.9094609037911271
1,dynamic,1,37.5858,2.23482,0.709554,0.116534,39.82062,0.9479139199741241
1,dynamic,2,36.7533,2.26788,0.707082,0.112404,39.02118,0.9673341503255413
1,dynamic,4,36.6168,2.99954,0.744418,0.11552,39.61634,0.9528017984498316
1,dynamic,8,37.6842,2.37368,0.803676,0.16162,40.05788,0.9422994926341586
1,dynamic,16,36.2421,2.73218,0.764591,0.114305,38.97428,0.9684981993252987
1,dynamic,32,38.6965,2.77541,0.933294,0.146574,41.47191,0.910170763777217
1,dynamic,64,36.6132,2.28458,0.73293,0.115825,38.89778,0.970402938162538
1,dynamic,128,38.3454,2.21116,0.698287,0.114597,40.55656,0.9307130585039758
1,guided,1,36.1242,2.20907,0.689108,0.109169,38.33327,0.984693452971792
1,guided,2,35.7363,2.1898,0.691824,0.109821,37.9261,0.9952650022016502
1,guided,4,35.4219,2.38159,0.713386,0.112258,37.803490000000004,0.9984929962815603
1,guided,8,35.5018,2.24472,0.765321,0.120432,37.746520000000004,1.0
1,guided,16,36.9606,2.39169,0.746904,0.121338,39.352289999999996,0.9591950049158513
1,guided,32,44.8148,4.35583,0.769162,0.123624,49.170629999999996,0.7676639489874343
1,guided,64,38.969,2.40959,0.738368,0.117248,41.37859,0.9122234469565058
1,guided,128,42.7683,2.29826,0.736182,0.123694,45.06656,0.8375726924797455
2,static,1,20.6917,1.67658,1.12708,0.145698,22.368280000000002,1.6875021235428025
2,static,2,22.6226,1.53158,0.997214,0.0715549,24.154179999999997,1.562732413188939
2,static,4,20.4757,1.39123,1.02281,0.0679232,21.86693,1.7261920168949187
2,static,8,21.6563,1.37769,0.96244,0.060609,23.033990000000003,1.6387312836377892
2,static,16,45.8443,1.54669,0.999381,0.0800434,47.390989999999995,0.7964914849848043
2,static,32,24.8879,1.32997,0.961471,0.0576741,26.217869999999998,1.4397248899319437
2,static,64,20.4794,1.40399,1.01813,0.0603467,21.88339,1.7248936293691246
2,static,128,21.9786,1.43214,0.974834,0.0602305,23.41074,1.6123591138084488
2,dynamic,1,21.7084,1.32655,0.994718,0.0600217,23.034950000000002,1.638662988198368
2,dynamic,2,21.2425,1.48537,0.985614,0.058363,22.72787,1.6608032340910084
2,dynamic,4,21.0594,1.36208,0.98753,0.0587694,22.42148,1.6834981455283062
2,dynamic,8,20.2591,1.40615,1.09713,0.0671396,21.66525,1.7422609939880687
2,dynamic,16,20.918,1.30897,0.975574,0.059997,22.226969999999998,1.6982305730380707
2,dynamic,32,19.5683,1.98372,1.23352,0.0688805,21.55202,1.751414484581956
